grid_cell_id,latitude,longitude,start_date,end_date,product,layer,scale_factor
cell_0009,-0.457917,34.54125,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0016,-0.11742,34.54124,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0018,-0.003184,34.545468,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0040,-0.403343,34.644653,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0041,-0.374583,34.624583,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0064,-0.026098,34.683025,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0079,-0.144885,34.736954,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0080,-0.125407,34.742504,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0088,0.277632,34.751548,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0095,-0.29125,34.79125,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0098,-0.166667,34.783333,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0099,-0.124583,34.79125,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0100,-0.052982,34.756882,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0109,-0.541301,34.824952,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0110,-0.514812,34.819122,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0117,-0.150255,34.813601,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0125,0.25,34.85,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0142,0.125,34.875,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0143,0.218553,34.883667,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0144,0.226,34.858,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0146,0.33,34.87,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0158,-0.031405,34.938595,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0163,0.212681,34.92315,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0164,0.266417,34.937655,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0165,0.277705,34.915569,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0183,0.20875,34.957917,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0185,0.292083,34.957917,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0193,-0.318111,35.00689,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0200,0.042083,35.04125,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0221,0.104637,35.081925,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0272,-0.124583,35.207917,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0283,-0.365434,35.290661,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0287,-0.16066,35.283398,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0288,-0.12248,35.25958,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0301,-0.2,35.3333,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
cell_0310,-0.379649,35.37572,2000-02-18,2026-07-12,MOD13Q1.061,250m_16_days_NDVI,0.0001
