grid_cell_id,dist_to_water_m
cell_0000,446.0
cell_0001,1648.3
cell_0002,1.2
cell_0003,1068.0
cell_0004,511.8
cell_0005,975.3
cell_0006,280.7
cell_0007,748.5
cell_0008,47.5
cell_0009,1141.6
cell_0010,2204.4
cell_0011,663.9
cell_0012,2333.9
cell_0013,923.3
cell_0014,1338.5
cell_0015,779.5
cell_0016,838.0
cell_0017,2682.6
cell_0018,1220.6
cell_0019,1840.1
cell_0020,966.1
cell_0021,2404.1
cell_0022,626.2
cell_0023,1038.5
cell_0024,1806.6
cell_0025,769.3
cell_0026,1002.9
cell_0027,386.7
cell_0028,486.8
cell_0029,666.1
cell_0030,2171.6
cell_0031,1942.5
cell_0032,1084.6
cell_0033,1785.4
cell_0034,127.4
cell_0035,83.5
cell_0036,86.7
cell_0037,1539.9
cell_0038,624.5
cell_0039,1301.7
cell_0040,1010.9
cell_0041,543.9
cell_0042,317.9
cell_0043,220.1
cell_0044,316.0
cell_0045,390.2
cell_0046,1798.8
cell_0047,1660.7
cell_0048,2984.3
cell_0049,552.7
cell_0050,1119.5
cell_0051,391.9
cell_0052,900.1
cell_0053,1197.1
cell_0054,609.1
cell_0055,1570.0
cell_0056,242.1
cell_0057,220.8
cell_0058,1674.2
cell_0059,456.8
cell_0060,2104.2
cell_0061,1824.5
cell_0062,319.5
cell_0063,73.0
cell_0064,2031.3
cell_0065,1486.0
cell_0066,198.3
cell_0067,640.0
cell_0068,2291.5
cell_0069,1577.8
cell_0070,282.8
cell_0071,1280.1
cell_0072,1607.7
cell_0073,1668.0
cell_0074,1474.0
cell_0075,137.9
cell_0076,241.0
cell_0077,194.4
cell_0078,799.9
cell_0079,182.2
cell_0080,131.6
cell_0081,1573.2
cell_0082,2049.2
cell_0083,3553.8
cell_0084,339.7
cell_0085,1209.5
cell_0086,1662.9
cell_0087,253.4
cell_0088,314.8
cell_0089,1694.5
cell_0090,124.2
cell_0091,1174.5
cell_0092,481.7
cell_0093,2399.7
cell_0094,1534.8
cell_0095,338.1
cell_0096,934.3
cell_0097,16.7
cell_0098,1099.9
cell_0099,348.4
cell_0100,2334.3
cell_0101,612.2
cell_0102,2740.0
cell_0103,115.4
cell_0104,1201.2
cell_0105,2075.9
cell_0106,533.0
cell_0107,1566.1
cell_0108,1411.0
cell_0109,1946.7
cell_0110,1159.5
cell_0111,1719.6
cell_0112,1352.0
cell_0113,1717.5
cell_0114,194.2
cell_0115,452.5
cell_0116,877.9
cell_0117,974.1
cell_0118,1968.3
cell_0119,1426.4
cell_0120,601.3
cell_0121,976.4
cell_0122,106.9
cell_0123,49.3
cell_0124,108.9
cell_0125,1802.8
cell_0126,66.2
cell_0127,497.8
cell_0128,472.4
cell_0129,1083.1
cell_0130,246.5
cell_0131,365.6
cell_0132,449.7
cell_0133,1346.0
cell_0134,16.1
cell_0135,2824.0
cell_0136,2851.5
cell_0137,379.6
cell_0138,1400.2
cell_0139,2182.3
cell_0140,1502.9
cell_0141,807.9
cell_0142,1928.5
cell_0143,258.5
cell_0144,215.7
cell_0145,562.9
cell_0146,910.1
cell_0147,2589.9
cell_0148,747.3
cell_0149,2885.8
cell_0150,587.1
cell_0151,96.7
cell_0152,2298.0
cell_0153,383.8
cell_0154,1392.6
cell_0155,1402.7
cell_0156,231.0
cell_0157,81.2
cell_0158,1665.6
cell_0159,1022.1
cell_0160,1760.7
cell_0161,125.5
cell_0162,1475.9
cell_0163,259.1
cell_0164,1332.4
cell_0165,779.2
cell_0166,1860.0
cell_0167,469.0
cell_0168,3117.5
cell_0169,1650.1
cell_0170,1973.2
cell_0171,1019.6
cell_0172,2546.8
cell_0173,499.2
cell_0174,99.5
cell_0175,1361.2
cell_0176,1021.8
cell_0177,723.3
cell_0178,615.7
cell_0179,1514.6
cell_0180,2558.5
cell_0181,4162.9
cell_0182,269.7
cell_0183,2650.4
cell_0184,2634.0
cell_0185,2293.2
cell_0186,2974.5
cell_0187,1160.0
cell_0188,952.0
cell_0189,261.4
cell_0190,2035.4
cell_0191,573.9
cell_0192,530.2
cell_0193,963.0
cell_0194,180.8
cell_0195,1863.9
cell_0196,1138.9
cell_0197,230.0
cell_0198,2055.9
cell_0199,1845.0
cell_0200,1686.4
cell_0201,2382.2
cell_0202,663.5
cell_0203,31.3
cell_0204,2668.7
cell_0205,1522.9
cell_0206,341.3
cell_0207,239.5
cell_0208,335.6
cell_0209,1000.7
cell_0210,1214.2
cell_0211,2109.0
cell_0212,78.1
cell_0213,1136.9
cell_0214,1842.3
cell_0215,1092.9
cell_0216,2186.0
cell_0217,476.1
cell_0218,123.5
cell_0219,1663.2
cell_0220,322.9
cell_0221,2738.2
cell_0222,692.1
cell_0223,2512.2
cell_0224,1598.2
cell_0225,427.7
cell_0226,398.9
cell_0227,876.1
cell_0228,162.8
cell_0229,667.6
cell_0230,1971.6
cell_0231,71.8
cell_0232,1770.1
cell_0233,414.0
cell_0234,65.0
cell_0235,356.6
cell_0236,192.5
cell_0237,171.2
cell_0238,1130.7
cell_0239,629.4
cell_0240,874.4
cell_0241,1151.1
cell_0242,2069.1
cell_0243,1711.3
cell_0244,138.4
cell_0245,898.8
cell_0246,876.4
cell_0247,1572.2
cell_0248,366.5
cell_0249,2231.3
cell_0250,1979.9
cell_0251,933.8
cell_0252,344.8
cell_0253,1333.7
cell_0254,1001.2
cell_0255,811.8
cell_0256,1832.4
cell_0257,454.9
cell_0258,2297.9
cell_0259,195.0
cell_0260,1910.7
cell_0261,1547.2
cell_0262,2228.2
cell_0263,263.7
cell_0264,1201.2
cell_0265,218.1
cell_0266,975.7
cell_0267,443.1
cell_0268,695.7
cell_0269,2625.0
cell_0270,683.5
cell_0271,672.6
cell_0272,615.6
cell_0273,922.9
cell_0274,25.5
cell_0275,2132.0
cell_0276,663.2
cell_0277,471.6
cell_0278,2789.3
cell_0279,166.9
cell_0280,148.4
cell_0281,323.5
cell_0282,189.8
cell_0283,1062.0
cell_0284,1765.9
cell_0285,381.4
cell_0286,486.6
cell_0287,31.4
cell_0288,1168.1
cell_0289,1273.1
cell_0290,947.3
cell_0291,271.3
cell_0292,863.2
cell_0293,250.9
cell_0294,2115.0
cell_0295,1551.4
cell_0296,153.9
cell_0297,1448.7
cell_0298,77.0
cell_0299,1454.9
cell_0300,428.7
cell_0301,428.5
cell_0302,1598.7
cell_0303,2871.4
cell_0304,1734.3
cell_0305,302.2
cell_0306,1222.0
cell_0307,1830.3
cell_0308,227.2
cell_0309,1356.2
cell_0310,109.7
cell_0311,757.2
cell_0312,625.7
cell_0313,936.3
cell_0314,15.4
cell_0315,521.8
cell_0316,555.4
cell_0317,1874.8
cell_0318,1373.2
cell_0319,1323.0
cell_0320,2562.6
cell_0321,285.9
cell_0322,477.9
cell_0323,790.0
cell_0324,1130.8
cell_0325,165.5
cell_0326,197.9
cell_0327,1062.4
