grid_cell_id,pa_record_count,first_event_date,last_event_date,latitude,longitude
cell_0009,1,2021-08-17,2021-08-17,-0.457917,34.54125
cell_0016,4,2015-03-17,2015-03-17,-0.11742,34.54124
cell_0018,1,2024-03-14,2024-03-14,-0.003184,34.545468
cell_0040,2,2021-05-03,2021-05-03,-0.403343,34.644653
cell_0041,3,2022-06-21,2022-06-21,-0.374583,34.624583
cell_0064,2,2018-06-20,2018-06-22,-0.026098,34.683025
cell_0079,3,2018-10-01,2023-04-06,-0.144885,34.736954
cell_0080,2,2019-11-22,2023-01-21,-0.125407,34.742504
cell_0088,1,2026-02-19,2026-02-19,0.277632,34.751548
cell_0095,1,2022-02-24,2022-02-24,-0.29125,34.79125
cell_0098,2,2013-02-27,2017-06-01,-0.166667,34.783333
cell_0099,2,2015-05-30,2018-01-02,-0.124583,34.79125
cell_0100,1,2023-02-17,2023-02-17,-0.052982,34.756882
cell_0109,3,2026-02-22,2026-03-01,-0.541301,34.824952
cell_0110,1,2026-03-02,2026-03-02,-0.514812,34.819122
cell_0117,1,2024-05-01,2024-05-01,-0.150255,34.813601
cell_0125,2,2001-09-07,2001-09-07,0.25,34.85
cell_0142,2,2019-03-14,2026-07-04,0.125,34.875
cell_0143,2,2021-09-11,2024-01-05,0.218553,34.883667
cell_0144,2,2011-02-07,2012-03-09,0.226,34.858
cell_0146,2,2001-04-24,2026-06-22,0.33,34.87
cell_0158,4,2001-12-25,2012-02-18,-0.031405,34.938595
cell_0163,1,2023-08-28,2023-08-28,0.212681,34.92315
cell_0164,1,2012-05-12,2012-05-12,0.266417,34.937655
cell_0165,1,2023-11-25,2023-11-25,0.277705,34.915569
cell_0183,2,2017-02-05,2017-02-05,0.20875,34.957917
cell_0185,2,2021-07-11,2021-07-11,0.292083,34.957917
cell_0193,3,2013-03-10,2017-02-17,-0.318111,35.00689
cell_0200,2,2017-02-27,2019-04-14,0.042083,35.04125
cell_0221,1,2017-12-04,2017-12-04,0.104637,35.081925
cell_0272,1,2022-08-03,2022-08-03,-0.124583,35.207917
cell_0283,2,2017-09-15,2024-10-21,-0.365434,35.290661
cell_0287,1,2015-11-25,2015-11-25,-0.16066,35.283398
cell_0288,1,2018-04-05,2018-04-05,-0.12248,35.25958
cell_0301,2,2020-09-01,2020-12-01,-0.2,35.3333
cell_0310,2,2011-01-21,2011-01-21,-0.379649,35.37572
