grid_cell_id,latitude,longitude
cell_0009,-0.451036,34.531133
cell_0016,-0.102839,34.531088
cell_0018,-0.003355,34.531086
cell_0040,-0.401274,34.629942
cell_0041,-0.351534,34.629933
cell_0064,-0.003354,34.679309
cell_0079,-0.152567,34.72872
cell_0080,-0.102829,34.728716
cell_0088,0.29507,34.728736
cell_0095,-0.301771,34.778142
cell_0098,-0.152563,34.778124
cell_0099,-0.102826,34.77812
cell_0100,-0.05309,34.778118
cell_0109,-0.550436,34.827604
cell_0110,-0.500702,34.827589
cell_0117,-0.152558,34.827526
cell_0125,0.24532,34.827537
cell_0142,0.145846,34.876927
cell_0143,0.195579,34.876932
cell_0144,0.245313,34.876938
cell_0146,0.344779,34.876955
cell_0158,-0.053086,34.926322
cell_0163,0.195574,34.926332
cell_0164,0.245306,34.926338
cell_0165,0.295037,34.926346
cell_0183,0.195568,34.975731
cell_0185,0.295029,34.975745
cell_0193,-0.301727,35.025144
cell_0200,0.046375,35.025117
cell_0221,0.096101,35.074514
cell_0272,-0.102798,35.222691
cell_0283,-0.351399,35.272119
cell_0287,-0.152516,35.272084
cell_0288,-0.102795,35.27208
cell_0301,-0.20223,35.321478
cell_0310,-0.401092,35.370907
