rainfall_7d,rainfall_30d,rainfall_90d,temp_mean_7d,dewpoint_mean_7d,wind_mean_7d,temp_same_day,dewpoint_same_day,wind_same_day,ndvi_nearest_composite,ndvi_anomaly,elevation_m,slope_deg,dist_to_water_m,presence
70.49,310.08,573.74,27.81,15.28,1.86,24.28,16.06,0.87,0.6869,0.1463,1158.0,0.98,231.0,1
70.49,310.08,573.74,27.81,15.28,1.86,24.28,16.06,0.87,0.6869,0.1463,1158.0,0.98,231.0,1
57.97,149.83,613.94,24.46,18.41,3.18,23.84,19.16,3.76,0.63,0.0614,1134.0,2.18,131.6,1
57.97,149.83,613.94,24.46,18.41,3.18,23.84,19.16,3.76,0.63,0.0614,1134.0,2.18,131.6,1
45.27,118.18,470.3,30.25,14.85,2.26,29.34,15.75,2.24,0.5334,0.0111,1158.0,0.98,231.0,1
53.85,162.9,540.68,26.68,17.52,2.7,26.6,18.14,2.98,0.6966,0.1903,1134.0,2.18,131.6,1
49.96,171.44,472.78,29.19,14.92,1.76,29.49,14.3,1.09,0.6246,0.1023,1158.0,0.98,231.0,1
23.01,161.45,495.79,26.86,17.2,2.67,26.25,17.61,2.44,0.6966,0.1903,1134.0,2.18,131.6,1
53.85,162.9,540.68,26.68,17.52,2.7,26.6,18.14,2.98,0.6966,0.1903,1134.0,2.18,131.6,1
23.01,161.45,495.79,26.86,17.2,2.67,26.25,17.61,2.44,0.6966,0.1903,1134.0,2.18,131.6,1
23.01,161.45,495.79,26.86,17.2,2.67,26.25,17.61,2.44,0.6966,0.1903,1134.0,2.18,131.6,1
58.09,223.52,488.12,31.84,13.88,1.57,33.75,11.23,1.32,0.6011,0.0605,1158.0,0.98,231.0,1
21.68,84.05,636.37,26.06,14.89,1.76,25.99,15.18,2.15,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,84.05,636.37,26.06,14.89,1.76,25.99,15.18,2.15,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,77.39,625.56,25.69,15.31,1.82,25.31,15.89,1.95,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,77.39,625.56,25.69,15.31,1.82,25.31,15.89,1.95,0.0045,-0.5446,1134.0,2.18,131.6,1
27.88,123.38,600.2,26.32,17.4,2.59,25.03,16.3,1.82,-0.1826,-0.2954,1134.0,0.0,1338.5,1
21.68,77.39,625.56,25.69,15.31,1.82,25.31,15.89,1.95,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,84.05,636.37,26.06,14.89,1.76,25.99,15.18,2.15,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,84.05,636.37,26.06,14.89,1.76,25.99,15.18,2.15,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,77.39,625.56,25.69,15.31,1.82,25.31,15.89,1.95,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,77.39,625.56,25.69,15.31,1.82,25.31,15.89,1.95,0.0045,-0.5446,1134.0,2.18,131.6,1
21.68,84.05,636.37,26.06,14.89,1.76,25.99,15.18,2.15,0.0045,-0.5446,1134.0,2.18,131.6,1
18.94,109.53,324.89,26.72,15.23,1.82,26.73,14.64,0.84,0.5411,-0.0313,1158.0,0.98,231.0,1
18.94,109.53,324.89,26.72,15.23,1.82,26.73,14.64,0.84,0.5411,-0.0313,1158.0,0.98,231.0,1
18.94,109.53,324.89,26.72,15.23,1.82,26.73,14.64,0.84,0.5411,-0.0313,1158.0,0.98,231.0,1
18.94,109.53,324.89,26.72,15.23,1.82,26.73,14.64,0.84,0.5411,-0.0313,1158.0,0.98,231.0,1
18.94,109.53,324.89,26.72,15.23,1.82,26.73,14.64,0.84,0.5411,-0.0313,1158.0,0.98,231.0,1
41.31,66.14,231.55,27.05,16.68,3.34,24.7,18.27,3.66,0.5859,0.1259,1145.0,1.66,1141.6,1
103.28,187.32,405.04,25.17,17.74,3.33,23.67,18.82,3.45,0.1872,-0.3326,1134.0,2.18,131.6,1
4.74,14.75,354.82,33.18,4.79,1.71,35.25,-5.47,0.61,0.4114,-0.1109,1158.0,0.98,231.0,1
60.65,102.38,270.71,26.04,17.0,2.46,25.78,17.25,2.6,0.4112,-0.1294,1158.0,0.98,231.0,1
99.21,289.9,541.53,25.17,18.45,3.52,24.99,17.25,2.34,0.6336,0.069,1134.0,2.18,131.6,1
103.33,324.09,392.08,26.54,17.58,1.83,27.11,17.22,1.13,0.549,-0.091,1158.0,0.98,231.0,1
99.21,289.9,541.53,25.17,18.45,3.52,24.99,17.25,2.34,0.6336,0.069,1134.0,2.18,131.6,1
