key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary
576971039,"Apalis porphyrolaema Reichenow & Neumann, 1895",-0.379649,35.37572,2011-01-21,2011,cell_0310,False
4919139280,"Brycoptera lobata Ragge, 1981",0.220772,34.885192,2024-07-28T16:04:17,2024,cell_0144,False
3498783768,"Cossypha heuglini Hartlaub, 1866",-0.374583,34.457917,2022-02-10,2022,cell_0000,False
3356269658,"Eurillas gracilis (Cabanis, 1880)",0.20875,34.874583,2021-09-11,2021,cell_0143,False
5006973748,"Diceros bicornis michaeli Zukowsky, 1965",-0.152789,35.232809,2024-12-31T13:39:33,2024,cell_0271,False
857832132,"Sarcophaga furcoides Zumpt, 1967",0.227,34.8805,2011-02-07,2011,cell_0144,False
3819425116,"Colius striatus J.F.Gmelin, 1789",-0.457917,34.624583,2022-06-15,2022,cell_0039,False
1668880348,"Halcyon senegalensis (Linnaeus, 1766)",-0.368897,35.286286,2017-09-15T18:00,2017,cell_0283,False
46826147,"Ceratitis fasciventris (Bezzi, 1920)",-0.183333,35.2667,2000-06-04,2000,cell_0286,False
577017111,"Arizelocichla masukuensis (Shelley, 1897)",-0.379649,35.37572,2011-01-21,2011,cell_0310,False
3735149431,"Psalidoprocne albiceps P.L.Sclater, 1864",0.20875,34.874583,2022-03-08,2022,cell_0143,False
3498781774,"Vanellus spinosus (Linnaeus, 1758)",-0.374583,34.457917,2022-02-10,2022,cell_0000,False
820386922,"Apaloderma narina (Stephens, 1815)",0.22692,34.884655,2012-08-18,2012,cell_0144,False
965433884,"Nectarinia kilimensis Shelley, 1885",0.22692,34.884655,2013-08-09,2013,cell_0144,False
2249871344,BOLD:ADE1279,0.2347,35.1408,2016-05-04,2016,cell_0243,False
1415643409,Coenagrionidae,0.226,34.858,2012-03-09,2012,cell_0144,False
3995401804,"Lanius humeralis Stanley, 1814",0.058236,34.581203,2022-10-21,2022,cell_0033,False
6170942262,Passiflora subpeltata Ortega,-0.540366,34.824201,2026-02-23T13:43:52,2026,cell_0109,False
3030714769,"Culex Linnaeus, 1758",-0.2,35.3333,2020-12,2020,cell_0301,False
3347167607,"Labeobarbus altianalis (Boulenger, 1900)",-0.17,35.18,2011-05-26,2011,cell_0253,False
2693482320,"Nectarinia kilimensis Shelley, 1885",0.291555,34.858154,2019-09-02,2019,cell_0145,False
4029735927,"Parus funereus (J.Verreaux & E.Verreaux, 1855)",0.20875,34.874583,2023-01-18,2023,cell_0143,False
4029735943,"Anastomus lamelligerus Temminck, 1823",-0.124583,34.707917,2023-01-21,2023,cell_0080,False
3306579762,"Corvus albus Statius Muller, 1776",-0.124583,34.707917,2016-07-10,2016,cell_0080,False
4165554721,"Microcarbo africanus (Gmelin, 1789)",-0.33944,34.509961,2023-07-18T03:31:14,2023,cell_0011,False
942031673,"Crithagra mozambica (P.L.Statius Müller, 1776)",-0.131836,34.760742,2013-02-27,2013,cell_0098,False
2669556626,"Motacilla aguimp Temminck, 1820",0.06314,34.913345,2019-05-04,2019,cell_0160,False
4029735931,"Hylia prasina (Cassin, 1855)",0.20875,34.874583,2023-01-18,2023,cell_0143,False
942034746,"Elminia longicauda (Swainson, 1838)",0.314053,34.86674,2013-02-25,2013,cell_0145,False
3818326658,Plagiorchiida,-0.32,35.01,2013-03-10,2013,cell_0193,False
3306557402,"Pycnonotus tricolor (Hartlaub, 1862)",-0.124583,34.79125,2015-05-30,2015,cell_0099,False
2832385617,"Merops muelleri (Cassin, 1857)",0.266417,34.937655,2012-05-12,2012,cell_0164,False
2839987630,"Chrysococcyx cupreus (Shaw, 1792)",0.266417,34.937655,2012-05-13,2012,cell_0164,False
4600102341,"Junonia gregorii Butler, 1895",0.218553,34.883667,2024-01-05T10:50:03,2024,cell_0143,False
1986738954,"Balearica regulorum (E.T.Bennett, 1834)",0.203115,35.11258,2017-08-11,2017,cell_0242,False
1392132883,"Ardea melanocephala Children & Vigors, 1826",-0.125453,34.742805,2012-11-10,2012,cell_0080,False
5006713555,"Ceryle rudis (Linnaeus, 1758)",-0.175625,34.701719,2024-11-07T07:29,2024,cell_0061,False
958753133,"Elminia longicauda (Swainson, 1838)",0.290505,34.83902,2013-06-06,2013,cell_0126,False
899969003,"Pseudoromicia tenuipinnis (Peters, 1872)",-0.10961,34.74593,2012-01-08,2012,cell_0080,False
2702537218,"Actophilornis africanus (J.F.Gmelin, 1789)",-0.125407,34.742504,2019-11-22,2019,cell_0080,False
3306687073,"Gymnobucco bonapartei Hartlaub, 1854",0.292083,35.04125,2021-03-25,2021,cell_0205,False
942034941,"Ploceus melanogaster Shelley, 1887",0.314053,34.86674,2013-02-25,2013,cell_0145,False
4993958872,Saccharum officinarum L.,0.185325,35.116043,2024-12-03T18:06,2024,cell_0242,False
3306575702,"Apus affinis (J.E.Gray, 1830)",-0.124583,34.79125,2016-07-10,2016,cell_0099,False
2898384740,"Cyrestis camillus Fabricius, 1781",0.210697,34.930213,2020-10-08T10:18:01,2020,cell_0163,False
657600861,Staphylinidae,0.25,34.85,2001-09-07,2001,cell_0125,False
4506306788,"Halcyon senegalensis (Linnaeus, 1766)",-0.349101,34.656483,2023-12-16T12:58:12,2023,cell_0057,False
2609671193,"Motacilla clara Sharpe, 1908",0.2928,34.8687,2019-11-25,2019,cell_0145,False
3030472251,"Culex Linnaeus, 1758",-0.2,35.3333,2020-11,2020,cell_0301,False
3306578643,"Ploceus cucullatus (Statius Muller, 1776)",-0.124583,34.79125,2016-07-10,2016,cell_0099,False
46820855,"Ceratitis argenteobrunnea Munro, 1935",-0.183333,35.2667,2000-05-03,2000,cell_0286,False
968714232,"Vanellus spinosus (Linnaeus, 1758)",-0.129518,34.740944,2013-10-13,2013,cell_0079,False
