grid_cell_id,elevation_m,slope_deg
cell_0000,1151.0,5.75
cell_0001,1134.0,0.0
cell_0002,1134.0,0.0
cell_0003,1134.0,0.0
cell_0004,1157.0,1.66
cell_0005,1265.0,4.02
cell_0006,1286.0,4.33
cell_0007,1296.0,3.05
cell_0008,1271.0,0.69
cell_0009,1145.0,1.66
cell_0010,1280.0,2.54
cell_0011,1200.0,2.49
cell_0012,1134.0,0.0
cell_0013,1134.0,0.0
cell_0014,1134.0,0.0
cell_0015,1182.0,1.95
cell_0016,1227.0,4.71
cell_0017,1424.0,4.62
cell_0018,1398.0,8.55
cell_0019,1457.0,3.73
cell_0020,1447.0,2.23
cell_0021,1443.0,2.84
cell_0022,1212.0,2.41
cell_0023,1164.0,1.11
cell_0024,1161.0,1.38
cell_0025,1151.0,0.44
cell_0026,1134.0,0.0
cell_0027,1134.0,0.0
cell_0028,1134.0,0.0
cell_0029,1134.0,0.0
cell_0030,1231.0,0.0
cell_0031,1425.0,2.91
cell_0032,1474.0,4.41
cell_0033,1507.0,3.52
cell_0034,1434.0,3.04
cell_0035,1424.0,4.15
cell_0036,1381.0,3.39
cell_0037,1345.0,2.79
cell_0038,1264.0,1.54
cell_0039,1234.0,3.45
cell_0040,1215.0,2.49
cell_0041,1144.0,0.62
cell_0042,1134.0,0.0
cell_0043,1134.0,0.0
cell_0044,1134.0,0.0
cell_0045,1134.0,0.0
cell_0046,1222.0,2.84
cell_0047,1399.0,1.66
cell_0048,1708.0,16.2
cell_0049,1530.0,1.98
cell_0050,1466.0,5.94
cell_0051,1435.0,4.14
cell_0052,1507.0,1.85
cell_0053,1401.0,7.53
cell_0054,1293.0,3.52
cell_0055,1317.0,1.98
cell_0056,1283.0,9.87
cell_0057,1134.0,0.0
cell_0058,1134.0,0.0
cell_0059,1134.0,0.0
cell_0060,1134.0,0.0
cell_0061,1134.0,0.0
cell_0062,1134.0,0.0
cell_0063,1311.0,2.54
cell_0064,1477.0,10.2
cell_0065,1566.0,3.32
cell_0066,1475.0,2.47
cell_0067,1486.0,4.49
cell_0068,1501.0,1.66
cell_0069,1446.0,4.11
cell_0070,1496.0,2.64
cell_0071,1531.0,7.09
cell_0072,1394.0,3.7
cell_0073,1389.0,2.35
cell_0074,1346.0,3.28
cell_0075,1134.0,0.0
cell_0076,1134.0,0.0
cell_0077,1134.0,0.0
cell_0078,1134.0,0.0
cell_0079,1134.0,0.0
cell_0080,1134.0,2.18
cell_0081,1294.0,12.69
cell_0082,1506.0,2.54
cell_0083,1609.0,5.68
cell_0084,1556.0,6.06
cell_0085,1483.0,5.88
cell_0086,1548.0,2.49
cell_0087,1473.0,5.05
cell_0088,1468.0,3.1
cell_0089,1634.0,11.34
cell_0090,1548.0,4.38
cell_0091,1448.0,0.69
cell_0092,1354.0,3.45
cell_0093,1375.0,3.28
cell_0094,1164.0,3.15
cell_0095,1142.0,0.31
cell_0096,1134.0,0.0
cell_0097,1134.0,0.0
cell_0098,1139.0,1.38
cell_0099,1147.0,0.62
cell_0100,1282.0,8.71
cell_0101,1419.0,6.13
cell_0102,1597.0,3.75
cell_0103,1597.0,2.23
cell_0104,1529.0,3.52
cell_0105,1533.0,1.88
cell_0106,1503.0,3.41
cell_0107,1545.0,5.27
cell_0108,1730.0,6.23
cell_0109,1709.0,6.13
cell_0110,1579.0,15.13
cell_0111,1412.0,2.49
cell_0112,1450.0,8.5
cell_0113,1309.0,26.03
cell_0114,1134.0,0.0
cell_0115,1134.0,0.0
cell_0116,1142.0,0.44
cell_0117,1154.0,0.44
cell_0118,1155.0,0.69
cell_0119,1173.0,0.31
cell_0120,1504.0,9.1
cell_0121,1585.0,4.06
cell_0122,1656.0,2.76
cell_0123,1527.0,3.73
cell_0124,1469.0,2.23
cell_0125,1551.0,3.61
cell_0126,1537.0,3.73
cell_0127,1885.0,5.97
cell_0128,1883.0,8.72
cell_0129,1626.0,3.71
cell_0130,1445.0,3.9
cell_0131,1416.0,4.38
cell_0132,1275.0,5.55
cell_0133,1141.0,0.44
cell_0134,1141.0,0.69
cell_0135,1146.0,0.98
cell_0136,1150.0,1.24
cell_0137,1152.0,0.31
cell_0138,1182.0,0.98
cell_0139,1730.0,2.91
cell_0140,1685.0,3.6
cell_0141,1749.0,3.95
cell_0142,1679.0,5.05
cell_0143,1544.0,9.75
cell_0144,1576.0,2.76
cell_0145,1581.0,2.18
cell_0146,1578.0,4.01
cell_0147,2073.0,8.97
cell_0148,2002.0,9.31
cell_0149,1735.0,5.01
cell_0150,1566.0,8.59
cell_0151,1444.0,7.82
cell_0152,1367.0,12.59
cell_0153,1146.0,1.11
cell_0154,1145.0,0.93
cell_0155,1148.0,0.0
cell_0156,1158.0,0.98
cell_0157,1162.0,0.69
cell_0158,1208.0,1.24
cell_0159,1779.0,3.81
cell_0160,1750.0,4.06
cell_0161,1820.0,5.65
cell_0162,1791.0,5.48
cell_0163,1590.0,5.16
cell_0164,1665.0,0.98
cell_0165,1598.0,5.97
cell_0166,1589.0,0.98
cell_0167,1976.0,12.35
cell_0168,1960.0,11.64
cell_0169,1668.0,2.93
cell_0170,1642.0,6.49
cell_0171,1553.0,10.68
cell_0172,1583.0,0.98
cell_0173,1202.0,0.31
cell_0174,1164.0,0.0
cell_0175,1154.0,0.69
cell_0176,1173.0,0.93
