key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,month,day,basisOfRecord,datasetKey
46821091,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821092,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821093,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821094,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821095,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821117,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821118,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821124,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821125,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46821126,"Ceratitis anonae Graham, 1908",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46822592,"Ceratitis capitata (Wiedemann, 1824)",-0.183333,35.2667,2000-01-27,2000,1,27.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46822598,"Ceratitis capitata (Wiedemann, 1824)",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46825137,"Ceratitis hamata Meyer, 1996",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46825140,"Ceratitis hamata Meyer, 1996",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46825731,"Ceratitis flexuosa (Walker, 1853)",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46825733,"Ceratitis flexuosa (Walker, 1853)",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46825737,"Ceratitis flexuosa (Walker, 1853)",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46826105,"Ceratitis fasciventris (Bezzi, 1920)",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46826163,"Ceratitis fasciventris (Bezzi, 1920)",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46826164,"Ceratitis fasciventris (Bezzi, 1920)",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46826172,"Ceratitis fasciventris (Bezzi, 1920)",0.266667,34.8833,2000-01-26,2000,1,26.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46826177,"Ceratitis fasciventris (Bezzi, 1920)",-0.366667,35.2833,2000-01-28,2000,1,28.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46827633,"Ceratitis venusta (Munro, 1956)",-0.366667,35.2833,2000-01-28,2000,1,28.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46827634,"Ceratitis venusta (Munro, 1956)",-0.366667,35.2833,2000-01-28,2000,1,28.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46828569,"Ceratitis rubivora Coquillett, 1901",0.266667,34.8833,2000-01-24,2000,1,24.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46828571,"Ceratitis rubivora Coquillett, 1901",-0.183333,35.2667,2000-01-27,2000,1,27.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46829654,"Trirhithrum coffeae Bezzi, 1918",0.266667,34.8833,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46830551,"Trirhithrum meladiscum Munro, 1938",0.266667,34.8833,2000-01-24,2000,1,24.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
46831175,"Trirhithrum occipitale Bezzi, 1918",-0.183333,35.2667,2000-01-27,2000,1,27.0,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
142742658,"Dacus bivittatus (Bigot, 1858)",0.266667,34.8833,2000-01-16/2000-01-23,2000,1,,PRESERVED_SPECIMEN,b276cb50-d3ea-11dc-ab69-b8a03c50a862
1270009071,"Dacus bivittatus (Bigot, 1858)",0.2369,34.8742,2000-01,2000,1,,PRESERVED_SPECIMEN,7e380070-f762-11e1-a439-00145eb45e9a
1270011746,"Ceratitis hamata Meyer, 1996",0.2083,34.8856,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,7e380070-f762-11e1-a439-00145eb45e9a
1270011805,"Ceratitis hamata Meyer, 1996",0.2083,34.8856,2000-01-25,2000,1,25.0,PRESERVED_SPECIMEN,7e380070-f762-11e1-a439-00145eb45e9a
1317895193,"Neolophonotus Engel, 1925",0.2356,34.8644,2000-01-24,2000,1,24.0,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d
1317937507,"Platyna hastata (Fabricius, 1805)",0.2356,34.8644,2000-01-16/2000-01-23,2000,1,,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d
1319700556,"Promachus Loew, 1848",0.2356,34.8644,2000-01-24,2000,1,24.0,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d
1322715835,"Choerades Walker, 1851",0.2356,34.8644,2000-01-24,2000,1,24.0,PRESERVED_SPECIMEN,821cc27a-e3bb-4bc5-ac34-89ada245069d
1406861929,"Merops muelleri (Cassin, 1857)",0.24726,34.87463,2000-01-21,2000,1,21.0,HUMAN_OBSERVATION,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
1406861931,"Zosterops senegalensis Bonaparte, 1850",0.24726,34.87463,2000-01-21,2000,1,21.0,HUMAN_OBSERVATION,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
1406861936,"Eurillas ansorgei (Hartert, 1907)",0.24726,34.87463,2000-01-21,2000,1,21.0,HUMAN_OBSERVATION,4fa7b334-ce0d-4e88-aaae-2e0c138d049e
